profileID,respID,qID,altID,obsID,enrollment_cash,occurrence_cash,monthly_occurrence,lower_bound,guaranteed_threshold,no_choice
720,5,2,1,26,300,20,4,40,80,0
390,5,2,2,26,100,10,4,30,70,0
0,5,2,3,26,0,0,0,0,0,1
89,5,3,1,27,50,10,1,30,60,0
558,5,3,2,27,100,20,4,20,80,0
0,5,3,3,27,0,0,0,0,0,1
26,5,4,1,28,100,5,2,20,60,0
719,5,4,2,28,200,20,4,40,80,0
0,5,4,3,28,0,0,0,0,0,1
247,5,5,1,29,200,5,1,20,70,0
236,5,5,2,29,300,15,4,40,60,0
0,5,5,3,29,0,0,0,0,0,1
681,5,6,1,30,50,2,3,40,80,0
136,5,6,2,30,300,15,3,30,60,0
0,5,6,3,30,0,0,0,0,0,1
670,6,1,1,31,100,10,2,40,80,0
594,6,1,2,31,100,15,2,30,80,0
0,6,1,3,31,0,0,0,0,0,1
136,6,2,1,32,300,15,3,30,60,0
656,6,2,2,32,300,15,1,40,80,0
0,6,2,3,32,0,0,0,0,0,1
684,6,3,1,33,300,2,3,40,80,0
229,6,3,2,33,50,10,4,40,60,0
0,6,3,3,33,0,0,0,0,0,1
72,6,4,1,34,300,10,4,20,60,0
612,6,4,2,34,300,10,3,30,80,0
0,6,4,3,34,0,0,0,0,0,1
392,6,5,1,35,300,10,4,30,70,0
565,6,5,2,35,50,5,1,30,80,0
0,6,5,3,35,0,0,0,0,0,1
618,6,6,1,36,100,20,3,30,80,0
257,6,6,2,36,50,20,1,20,70,0
0,6,6,3,36,0,0,0,0,0,1
148,7,1,1,37,300,5,4,30,60,0
529,7,1,2,37,50,10,3,20,80,0
0,7,1,3,37,0,0,0,0,0,1
595,7,2,1,38,200,15,2,30,80,0
114,7,2,2,38,100,15,2,30,60,0
0,7,2,3,38,0,0,0,0,0,1
184,7,3,1,39,300,2,2,40,60,0
314,7,3,2,39,100,15,4,20,70,0
0,7,3,3,39,0,0,0,0,0,1
111,7,4,1,40,200,10,2,30,60,0
377,7,4,2,40,50,20,3,30,70,0
0,7,4,3,40,0,0,0,0,0,1
253,7,5,1,41,50,15,1,20,70,0
401,7,5,2,41,50,2,1,40,70,0
0,7,5,3,41,0,0,0,0,0,1
129,7,6,1,42,50,10,3,30,60,0
409,7,6,2,42,50,10,1,40,70,0
0,7,6,3,42,0,0,0,0,0,1
320,8,1,1,43,300,20,4,20,70,0
49,8,1,2,43,50,10,3,20,60,0
0,8,1,3,43,0,0,0,0,0,1
264,8,2,1,44,300,2,2,20,70,0
282,8,2,2,44,100,2,3,20,70,0
0,8,2,3,44,0,0,0,0,0,1
239,8,3,1,45,200,20,4,40,60,0
210,8,3,2,45,100,10,3,40,60,0
0,8,3,3,45,0,0,0,0,0,1
31,8,4,1,46,200,10,2,20,60,0
293,8,4,2,46,50,15,3,20,70,0
0,8,4,3,46,0,0,0,0,0,1
31,8,5,1,47,200,10,2,20,60,0
365,8,5,2,47,50,5,3,30,70,0
0,8,5,3,47,0,0,0,0,0,1
395,8,6,1,48,200,15,4,30,70,0
154,8,6,2,48,100,15,4,30,60,0
0,8,6,3,48,0,0,0,0,0,1
159,9,1,1,49,200,20,4,30,60,0
116,9,1,2,49,300,15,2,30,60,0
0,9,1,3,49,0,0,0,0,0,1
317,9,2,1,50,50,20,4,20,70,0
42,9,2,2,50,100,2,3,20,60,0
0,9,2,3,50,0,0,0,0,0,1
41,9,3,1,51,50,2,3,20,60,0
503,9,3,2,51,200,2,2,20,80,0
0,9,3,3,51,0,0,0,0,0,1
578,9,4,1,52,100,20,1,30,80,0
612,9,4,2,52,300,10,3,30,80,0
0,9,4,3,52,0,0,0,0,0,1
34,9,5,1,53,100,15,2,20,60,0
2,9,5,2,53,100,2,1,20,60,0
0,9,5,3,53,0,0,0,0,0,1
281,9,6,1,54,50,2,3,20,70,0
426,9,6,2,54,100,5,2,40,70,0
0,9,6,3,54,0,0,0,0,0,1
473,10,1,1,55,50,15,4,40,70,0
613,10,1,2,55,50,15,3,30,80,0
0,10,1,3,55,0,0,0,0,0,1
469,10,2,1,56,50,10,4,40,70,0
436,10,2,2,56,300,15,2,40,70,0
0,10,2,3,56,0,0,0,0,0,1
716,10,3,1,57,300,15,4,40,80,0
598,10,3,2,57,100,20,2,30,80,0
0,10,3,3,57,0,0,0,0,0,1
716,10,4,1,58,300,15,4,40,80,0
501,10,4,2,58,50,2,2,20,80,0
0,10,4,3,58,0,0,0,0,0,1
179,10,5,1,59,200,20,1,40,60,0
30,10,5,2,59,100,10,2,20,60,0
0,10,5,3,59,0,0,0,0,0,1
365,10,6,1,60,50,5,3,30,70,0
93,10,6,2,60,50,15,1,30,60,0
0,10,6,3,60,0,0,0,0,0,1
450,11,1,1,61,100,10,3,40,70,0
390,11,1,2,61,100,10,4,30,70,0
0,11,1,3,61,0,0,0,0,0,1
92,11,2,1,62,300,10,1,30,60,0
446,11,2,2,62,100,5,3,40,70,0
0,11,2,3,62,0,0,0,0,0,1
656,11,3,1,63,300,15,1,40,80,0
303,11,3,2,63,200,2,4,20,70,0
0,11,3,3,63,0,0,0,0,0,1
362,11,4,1,64,100,2,3,30,70,0
392,11,4,2,64,300,10,4,30,70,0
0,11,4,3,64,0,0,0,0,0,1
564,11,5,1,65,300,2,1,30,80,0
466,11,5,2,65,100,5,4,40,70,0
0,11,5,3,65,0,0,0,0,0,1
125,11,6,1,66,50,5,3,30,60,0
173,11,6,2,66,50,15,1,40,60,0
0,11,6,3,66,0,0,0,0,0,1
110,12,1,1,67,100,10,2,30,60,0
519,12,1,2,67,200,20,2,20,80,0
0,12,1,3,67,0,0,0,0,0,1
295,12,2,1,68,200,15,3,20,70,0
577,12,2,2,68,50,20,1,30,80,0
0,12,2,3,68,0,0,0,0,0,1
334,12,3,1,69,100,15,1,30,70,0
78,12,3,2,69,100,20,4,20,60,0
0,12,3,3,69,0,0,0,0,0,1
664,12,4,1,70,300,2,2,40,80,0
647,12,4,2,70,200,5,1,40,80,0
0,12,4,3,70,0,0,0,0,0,1
44,12,5,1,71,300,2,3,20,60,0
471,12,5,2,71,200,10,4,40,70,0
0,12,5,3,71,0,0,0,0,0,1
528,12,6,1,72,300,5,3,20,80,0
363,12,6,2,72,200,2,3,30,70,0
0,12,6,3,72,0,0,0,0,0,1
272,13,1,1,73,300,10,2,20,70,0
652,13,1,2,73,300,10,1,40,80,0
0,13,1,3,73,0,0,0,0,0,1
305,13,2,1,74,50,5,4,20,70,0
470,13,2,2,74,100,10,4,40,70,0
0,13,2,3,74,0,0,0,0,0,1
219,13,3,1,75,200,20,3,40,60,0
706,13,3,2,75,100,5,4,40,80,0
0,13,3,3,75,0,0,0,0,0,1
24,13,4,1,76,300,2,2,20,60,0
232,13,4,2,76,300,10,4,40,60,0
0,13,4,3,76,0,0,0,0,0,1
34,13,5,1,77,100,15,2,20,60,0
552,13,5,2,77,300,10,4,20,80,0
0,13,5,3,77,0,0,0,0,0,1
634,13,6,1,78,100,15,4,30,80,0
170,13,6,2,78,100,10,1,40,60,0
0,13,6,3,78,0,0,0,0,0,1
125,14,1,1,79,50,5,3,30,60,0
249,14,1,2,79,50,10,1,20,70,0
0,14,1,3,79,0,0,0,0,0,1
580,14,2,1,80,300,20,1,30,80,0
549,14,2,2,80,50,10,4,20,80,0
0,14,2,3,80,0,0,0,0,0,1
8,14,3,1,81,300,5,1,20,60,0
434,14,3,2,81,100,15,2,40,70,0
0,14,3,3,81,0,0,0,0,0,1
655,14,4,1,82,200,15,1,40,80,0
171,14,4,2,82,200,10,1,40,60,0
0,14,4,3,82,0,0,0,0,0,1
613,14,5,1,83,50,15,3,30,80,0
93,14,5,2,83,50,15,1,30,60,0
0,14,5,3,83,0,0,0,0,0,1
63,14,6,1,84,200,2,4,20,60,0
559,14,6,2,84,200,20,4,20,80,0
0,14,6,3,84,0,0,0,0,0,1
222,15,1,1,85,100,2,4,40,60,0
365,15,1,2,85,50,5,3,30,70,0
0,15,1,3,85,0,0,0,0,0,1
547,15,2,1,86,200,5,4,20,80,0
389,15,2,2,86,50,10,4,30,70,0
0,15,2,3,86,0,0,0,0,0,1
4,15,3,1,87,300,2,1,20,60,0
44,15,3,2,87,300,2,3,20,60,0
0,15,3,3,87,0,0,0,0,0,1
80,15,4,1,88,300,20,4,20,60,0
719,15,4,2,88,200,20,4,40,80,0
0,15,4,3,88,0,0,0,0,0,1
511,15,5,1,89,200,10,2,20,80,0
158,15,5,2,89,100,20,4,30,60,0
0,15,5,3,89,0,0,0,0,0,1
619,15,6,1,90,200,20,3,30,80,0
640,15,6,2,90,300,20,4,30,80,0
0,15,6,3,90,0,0,0,0,0,1
596,16,1,1,91,300,15,2,30,80,0
18,16,1,2,91,100,20,1,20,60,0
0,16,1,3,91,0,0,0,0,0,1
168,16,2,1,92,300,5,1,40,60,0
682,16,2,2,92,100,2,3,40,80,0
0,16,2,3,92,0,0,0,0,0,1
322,16,3,1,93,100,2,1,30,70,0
302,16,3,2,93,100,2,4,20,70,0
0,16,3,3,93,0,0,0,0,0,1
368,16,4,1,94,300,5,3,30,70,0
324,16,4,2,94,300,2,1,30,70,0
0,16,4,3,94,0,0,0,0,0,1
538,16,5,1,95,100,20,3,20,80,0
467,16,5,2,95,200,5,4,40,70,0
0,16,5,3,95,0,0,0,0,0,1
305,16,6,1,96,50,5,4,20,70,0
570,16,6,2,96,100,10,1,30,80,0
0,16,6,3,96,0,0,0,0,0,1
205,17,1,1,97,50,5,3,40,60,0
251,17,1,2,97,200,10,1,20,70,0
0,17,1,3,97,0,0,0,0,0,1
406,17,2,1,98,100,5,1,40,70,0
544,17,2,2,98,300,2,4,20,80,0
0,17,2,3,98,0,0,0,0,0,1
679,17,3,1,99,200,20,2,40,80,0
254,17,3,2,99,100,15,1,20,70,0
0,17,3,3,99,0,0,0,0,0,1
225,17,4,1,100,50,5,4,40,60,0
651,17,4,2,100,200,10,1,40,80,0
0,17,4,3,100,0,0,0,0,0,1
139,17,5,1,101,200,20,3,30,60,0
345,17,5,2,101,50,5,2,30,70,0
0,17,5,3,101,0,0,0,0,0,1
638,17,6,1,102,100,20,4,30,80,0
250,17,6,2,102,100,10,1,20,70,0
0,17,6,3,102,0,0,0,0,0,1
639,18,1,1,103,200,20,4,30,80,0
645,18,1,2,103,50,5,1,40,80,0
0,18,1,3,103,0,0,0,0,0,1
247,18,2,1,104,200,5,1,20,70,0
479,18,2,2,104,200,20,4,40,70,0
0,18,2,3,104,0,0,0,0,0,1
135,18,3,1,105,200,15,3,30,60,0
706,18,3,2,105,100,5,4,40,80,0
0,18,3,3,105,0,0,0,0,0,1
82,18,4,1,106,100,2,1,30,60,0
223,18,4,2,106,200,2,4,40,60,0
0,18,4,3,106,0,0,0,0,0,1
553,18,5,1,107,50,15,4,20,80,0
452,18,5,2,107,300,10,3,40,70,0
0,18,5,3,107,0,0,0,0,0,1
37,18,6,1,108,50,20,2,20,60,0
158,18,6,2,108,100,20,4,30,60,0
0,18,6,3,108,0,0,0,0,0,1
550,19,1,1,109,100,10,4,20,80,0
149,19,1,2,109,50,10,4,30,60,0
0,19,1,3,109,0,0,0,0,0,1
27,19,2,1,110,200,5,2,20,60,0
173,19,2,2,110,50,15,1,40,60,0
0,19,2,3,110,0,0,0,0,0,1
243,19,3,1,111,200,2,1,20,70,0
354,19,3,2,111,100,15,2,30,70,0
0,19,3,3,111,0,0,0,0,0,1
173,19,4,1,112,50,15,1,40,60,0
112,19,4,2,112,300,10,2,30,60,0
0,19,4,3,112,0,0,0,0,0,1
47,19,5,1,113,200,5,3,20,60,0
422,19,5,2,113,100,2,2,40,70,0
0,19,5,3,113,0,0,0,0,0,1
460,19,6,1,114,300,20,3,40,70,0
573,19,6,2,114,50,15,1,30,80,0
0,19,6,3,114,0,0,0,0,0,1
233,20,1,1,115,50,15,4,40,60,0
474,20,1,2,115,100,15,4,40,70,0
0,20,1,3,115,0,0,0,0,0,1
189,20,2,1,116,50,10,2,40,60,0
428,20,2,2,116,300,5,2,40,70,0
0,20,2,3,116,0,0,0,0,0,1
446,20,3,1,117,100,5,3,40,70,0
88,20,3,2,117,300,5,1,30,60,0
0,20,3,3,117,0,0,0,0,0,1
554,20,4,1,118,100,15,4,20,80,0
104,20,4,2,118,300,2,2,30,60,0
0,20,4,3,118,0,0,0,0,0,1
452,20,5,1,119,300,10,3,40,70,0
402,20,5,2,119,100,2,1,40,70,0
0,20,5,3,119,0,0,0,0,0,1
60,20,6,1,120,300,20,3,20,60,0
224,20,6,2,120,300,2,4,40,60,0
0,20,6,3,120,0,0,0,0,0,1
137,21,1,1,121,50,20,3,30,60,0
588,21,1,2,121,300,5,2,30,80,0
0,21,1,3,121,0,0,0,0,0,1
471,21,2,1,122,200,10,4,40,70,0
275,21,2,2,122,200,15,2,20,70,0
0,21,2,3,122,0,0,0,0,0,1
94,21,3,1,123,100,15,1,30,60,0
102,21,3,2,123,100,2,2,30,60,0
0,21,3,3,123,0,0,0,0,0,1
479,21,4,1,124,200,20,4,40,70,0
37,21,4,2,124,50,20,2,20,60,0
0,21,4,3,124,0,0,0,0,0,1
426,21,5,1,125,100,5,2,40,70,0
107,21,5,2,125,200,5,2,30,60,0
0,21,5,3,125,0,0,0,0,0,1
34,21,6,1,126,100,15,2,20,60,0
515,21,6,2,126,200,15,2,20,80,0
0,21,6,3,126,0,0,0,0,0,1
451,22,1,1,127,200,10,3,40,70,0
188,22,1,2,127,300,5,2,40,60,0
0,22,1,3,127,0,0,0,0,0,1
461,22,2,1,128,50,2,4,40,70,0
582,22,2,2,128,100,2,2,30,80,0
0,22,2,3,128,0,0,0,0,0,1
322,22,3,1,129,100,2,1,30,70,0
511,22,3,2,129,200,10,2,20,80,0
0,22,3,3,129,0,0,0,0,0,1
295,22,4,1,130,200,15,3,20,70,0
535,22,4,2,130,200,15,3,20,80,0
0,22,4,3,130,0,0,0,0,0,1
545,22,5,1,131,50,5,4,20,80,0
110,22,5,2,131,100,10,2,30,60,0
0,22,5,3,131,0,0,0,0,0,1
56,22,6,1,132,300,15,3,20,60,0
170,22,6,2,132,100,10,1,40,60,0
0,22,6,3,132,0,0,0,0,0,1
166,23,1,1,133,100,5,1,40,60,0
695,23,1,2,133,200,15,3,40,80,0
0,23,1,3,133,0,0,0,0,0,1
298,23,2,1,134,100,20,3,20,70,0
264,23,2,2,134,300,2,2,20,70,0
0,23,2,3,134,0,0,0,0,0,1
483,23,3,1,135,200,2,1,20,80,0
552,23,3,2,135,300,10,4,20,80,0
0,23,3,3,135,0,0,0,0,0,1
349,23,4,1,136,50,10,2,30,70,0
331,23,4,2,136,200,10,1,30,70,0
0,23,4,3,136,0,0,0,0,0,1
120,23,5,1,137,300,20,2,30,60,0
184,23,5,2,137,300,2,2,40,60,0
0,23,5,3,137,0,0,0,0,0,1
530,23,6,1,138,100,10,3,20,80,0
319,23,6,2,138,200,20,4,20,70,0
0,23,6,3,138,0,0,0,0,0,1
67,24,1,1,139,200,5,4,20,60,0
703,24,1,2,139,200,2,4,40,80,0
0,24,1,3,139,0,0,0,0,0,1
30,24,2,1,140,100,10,2,20,60,0
164,24,2,2,140,300,2,1,40,60,0
0,24,2,3,140,0,0,0,0,0,1
231,24,3,1,141,200,10,4,40,60,0
601,24,3,2,141,50,2,3,30,80,0
0,24,3,3,141,0,0,0,0,0,1
618,24,4,1,142,100,20,3,30,80,0
651,24,4,2,142,200,10,1,40,80,0
0,24,4,3,142,0,0,0,0,0,1
218,24,5,1,143,100,20,3,40,60,0
372,24,5,2,143,300,10,3,30,70,0
0,24,5,3,143,0,0,0,0,0,1
414,24,6,1,144,100,15,1,40,70,0
511,24,6,2,144,200,10,2,20,80,0
0,24,6,3,144,0,0,0,0,0,1
529,25,1,1,145,50,10,3,20,80,0
296,25,1,2,145,300,15,3,20,70,0
0,25,1,3,145,0,0,0,0,0,1
424,25,2,1,146,300,2,2,40,70,0
140,25,2,2,146,300,20,3,30,60,0
0,25,2,3,146,0,0,0,0,0,1
353,25,3,1,147,50,15,2,30,70,0
663,25,3,2,147,200,2,2,40,80,0
0,25,3,3,147,0,0,0,0,0,1
472,25,4,1,148,300,10,4,40,70,0
199,25,4,2,148,200,20,2,40,60,0
0,25,4,3,148,0,0,0,0,0,1
546,25,5,1,149,100,5,4,20,80,0
91,25,5,2,149,200,10,1,30,60,0
0,25,5,3,149,0,0,0,0,0,1
695,25,6,1,150,200,15,3,40,80,0
468,25,6,2,150,300,5,4,40,70,0
0,25,6,3,150,0,0,0,0,0,1
425,26,1,1,151,50,5,2,40,70,0
649,26,1,2,151,50,10,1,40,80,0
0,26,1,3,151,0,0,0,0,0,1
578,26,2,1,152,100,20,1,30,80,0
619,26,2,2,152,200,20,3,30,80,0
0,26,2,3,152,0,0,0,0,0,1
244,26,3,1,153,300,2,1,20,70,0
281,26,3,2,153,50,2,3,20,70,0
0,26,3,3,153,0,0,0,0,0,1
618,26,4,1,154,100,20,3,30,80,0
342,26,4,2,154,100,2,2,30,70,0
0,26,4,3,154,0,0,0,0,0,1
416,26,5,1,155,300,15,1,40,70,0
594,26,5,2,155,100,15,2,30,80,0
0,26,5,3,155,0,0,0,0,0,1
226,26,6,1,156,100,5,4,40,60,0
443,26,6,2,156,200,2,3,40,70,0
0,26,6,3,156,0,0,0,0,0,1
232,27,1,1,157,300,10,4,40,60,0
673,27,1,2,157,50,15,2,40,80,0
0,27,1,3,157,0,0,0,0,0,1
633,27,2,1,158,50,15,4,30,80,0
305,27,2,2,158,50,5,4,20,70,0
0,27,2,3,158,0,0,0,0,0,1
105,27,3,1,159,50,5,2,30,60,0
57,27,3,2,159,50,20,3,20,60,0
0,27,3,3,159,0,0,0,0,0,1
601,27,4,1,160,50,2,3,30,80,0
405,27,4,2,160,50,5,1,40,70,0
0,27,4,3,160,0,0,0,0,0,1
690,27,5,1,161,100,10,3,40,80,0
216,27,5,2,161,300,15,3,40,60,0
0,27,5,3,161,0,0,0,0,0,1
249,27,6,1,162,50,10,1,20,70,0
618,27,6,2,162,100,20,3,30,80,0
0,27,6,3,162,0,0,0,0,0,1
515,28,1,1,163,200,15,2,20,80,0
386,28,1,2,163,100,5,4,30,70,0
0,28,1,3,163,0,0,0,0,0,1
127,28,2,1,164,200,5,3,30,60,0
408,28,2,2,164,300,5,1,40,70,0
0,28,2,3,164,0,0,0,0,0,1
193,28,3,1,165,50,15,2,40,60,0
261,28,3,2,165,50,2,2,20,70,0
0,28,3,3,165,0,0,0,0,0,1
292,28,4,1,166,300,10,3,20,70,0
513,28,4,2,166,50,15,2,20,80,0
0,28,4,3,166,0,0,0,0,0,1
371,28,5,1,167,200,10,3,30,70,0
278,28,5,2,167,100,20,2,20,70,0
0,28,5,3,167,0,0,0,0,0,1
174,28,6,1,168,100,15,1,40,60,0
188,28,6,2,168,300,5,2,40,60,0
0,28,6,3,168,0,0,0,0,0,1
692,29,1,1,169,300,10,3,40,80,0
314,29,1,2,169,100,15,4,20,70,0
0,29,1,3,169,0,0,0,0,0,1
166,29,2,1,170,100,5,1,40,60,0
444,29,2,2,170,300,2,3,40,70,0
0,29,2,3,170,0,0,0,0,0,1
208,29,3,1,171,300,5,3,40,60,0
224,29,3,2,171,300,2,4,40,60,0
0,29,3,3,171,0,0,0,0,0,1
233,29,4,1,172,50,15,4,40,60,0
385,29,4,2,172,50,5,4,30,70,0
0,29,4,3,172,0,0,0,0,0,1
593,29,5,1,173,50,15,2,30,80,0
484,29,5,2,173,300,2,1,20,80,0
0,29,5,3,173,0,0,0,0,0,1
86,29,6,1,174,100,5,1,30,60,0
2,29,6,2,174,100,2,1,20,60,0
0,29,6,3,174,0,0,0,0,0,1
166,30,1,1,175,100,5,1,40,60,0
206,30,1,2,175,100,5,3,40,60,0
0,30,1,3,175,0,0,0,0,0,1
620,30,2,1,176,300,20,3,30,80,0
411,30,2,2,176,200,10,1,40,70,0
0,30,2,3,176,0,0,0,0,0,1
22,30,3,1,177,100,2,2,20,60,0
354,30,3,2,177,100,15,2,30,70,0
0,30,3,3,177,0,0,0,0,0,1
478,30,4,1,178,100,20,4,40,70,0
249,30,4,2,178,50,10,1,20,70,0
0,30,4,3,178,0,0,0,0,0,1
242,30,5,1,179,100,2,1,20,70,0
307,30,5,2,179,200,5,4,20,70,0
0,30,5,3,179,0,0,0,0,0,1
387,30,6,1,180,200,5,4,30,70,0
363,30,6,2,180,200,2,3,30,70,0
0,30,6,3,180,0,0,0,0,0,1
610,31,1,1,181,100,10,3,30,80,0
655,31,1,2,181,200,15,1,40,80,0
0,31,1,3,181,0,0,0,0,0,1
531,31,2,1,182,200,10,3,20,80,0
169,31,2,2,182,50,10,1,40,60,0
0,31,2,3,182,0,0,0,0,0,1
299,31,3,1,183,200,20,3,20,70,0
486,31,3,2,183,100,5,1,20,80,0
0,31,3,3,183,0,0,0,0,0,1
59,31,4,1,184,200,20,3,20,60,0
401,31,4,2,184,50,2,1,40,70,0
0,31,4,3,184,0,0,0,0,0,1
55,31,5,1,185,200,15,3,20,60,0
344,31,5,2,185,300,2,2,30,70,0
0,31,5,3,185,0,0,0,0,0,1
263,31,6,1,186,200,2,2,20,70,0
337,31,6,2,186,50,20,1,30,70,0
0,31,6,3,186,0,0,0,0,0,1
406,32,1,1,187,100,5,1,40,70,0
658,32,1,2,187,100,20,1,40,80,0
0,32,1,3,187,0,0,0,0,0,1
237,32,2,1,188,50,20,4,40,60,0
428,32,2,2,188,300,5,2,40,70,0
0,32,2,3,188,0,0,0,0,0,1
677,32,3,1,189,50,20,2,40,80,0
69,32,3,2,189,50,10,4,20,60,0
0,32,3,3,189,0,0,0,0,0,1
199,32,4,1,190,200,20,2,40,60,0
219,32,4,2,190,200,20,3,40,60,0
0,32,4,3,190,0,0,0,0,0,1
409,32,5,1,191,50,10,1,40,70,0
278,32,5,2,191,100,20,2,20,70,0
0,32,5,3,191,0,0,0,0,0,1
499,32,6,1,192,200,20,1,20,80,0
123,32,6,2,192,200,2,3,30,60,0
0,32,6,3,192,0,0,0,0,0,1
693,33,1,1,193,50,15,3,40,80,0
501,33,1,2,193,50,2,2,20,80,0
0,33,1,3,193,0,0,0,0,0,1
154,33,2,1,194,100,15,4,30,60,0
342,33,2,2,194,100,2,2,30,70,0
0,33,2,3,194,0,0,0,0,0,1
210,33,3,1,195,100,10,3,40,60,0
697,33,3,2,195,50,20,3,40,80,0
0,33,3,3,195,0,0,0,0,0,1
399,33,4,1,196,200,20,4,30,70,0
248,33,4,2,196,300,5,1,20,70,0
0,33,4,3,196,0,0,0,0,0,1
690,33,5,1,197,100,10,3,40,80,0
97,33,5,2,197,50,20,1,30,60,0
0,33,5,3,197,0,0,0,0,0,1
610,33,6,1,198,100,10,3,30,80,0
196,33,6,2,198,300,15,2,40,60,0
0,33,6,3,198,0,0,0,0,0,1
186,34,1,1,199,100,5,2,40,60,0
692,34,1,2,199,300,10,3,40,80,0
0,34,1,3,199,0,0,0,0,0,1
580,34,2,1,200,300,20,1,30,80,0
362,34,2,2,200,100,2,3,30,70,0
0,34,2,3,200,0,0,0,0,0,1
210,34,3,1,201,100,10,3,40,60,0
205,34,3,2,201,50,5,3,40,60,0
0,34,3,3,201,0,0,0,0,0,1
63,34,4,1,202,200,2,4,20,60,0
559,34,4,2,202,200,20,4,20,80,0
0,34,4,3,202,0,0,0,0,0,1
310,34,5,1,203,100,10,4,20,70,0
465,34,5,2,203,50,5,4,40,70,0
0,34,5,3,203,0,0,0,0,0,1
649,34,6,1,204,50,10,1,40,80,0
152,34,6,2,204,300,10,4,30,60,0
0,34,6,3,204,0,0,0,0,0,1
498,35,1,1,205,100,20,1,20,80,0
564,35,1,2,205,300,2,1,30,80,0
0,35,1,3,205,0,0,0,0,0,1
368,35,2,1,206,300,5,3,30,70,0
418,35,2,2,206,100,20,1,40,70,0
0,35,2,3,206,0,0,0,0,0,1
219,35,3,1,207,200,20,3,40,60,0
266,35,3,2,207,100,5,2,20,70,0
0,35,3,3,207,0,0,0,0,0,1
482,35,4,1,208,100,2,1,20,80,0
441,35,4,2,208,50,2,3,40,70,0
0,35,4,3,208,0,0,0,0,0,1
502,35,5,1,209,100,2,2,20,80,0
493,35,5,2,209,50,15,1,20,80,0
0,35,5,3,209,0,0,0,0,0,1
413,35,6,1,210,50,15,1,40,70,0
385,35,6,2,210,50,5,4,30,70,0
0,35,6,3,210,0,0,0,0,0,1
